ID,Date,Author,Target,Description,Attack,Target Class,Attack Class,Country,Link,Tags,
1,01/09/2015,"Lizard Squad
","UK's National Crime Agency
http://www.nationalcrimeagency.gov.uk",The Lizard Squad takes down the official website of UK's National Crime Agency (nationalcrimeagency.gov.uk).,DDoS,Law Enforcement,CC,"UK
",http://arstechnica.com/security/2015/09/lizard-squad-launches-ddos-against-uk-law-enforcement-agency/,"Lizard Squad, UK's National Crime Agency, nationalcrimeagency.gov.uk",","
2,01/09/2015,"Rocket Kitten
(linked to Iran ?)",Several individuals authors of an anti-Iran security research paper,"Trend Micro and Clearsky Security publish a joint, detailed paper in which they document the actions of Rocket Kitten, an APT they believe to be linked to the Iranian government.",Targeted Attack,Several Individuals,CE,>1,http://news.softpedia.com/news/rocket-kitten-hacking-group-linked-to-iranian-government-by-security-researchers-490919.shtml,"Rocket Kitten, Iran, Trend Micro, Clearsky Security",","
3,01/09/2015,?,Marion Bowman,"Marion Bowman, a top former FBI lawyer and U.S. counterintelligence official, reveals that hackers allegedly from China penetrated his home computer last spring.",Targeted Attack,Single Individual,CE,US,http://www.newsweek.com/china-hackers-fbi-marion-bowman-367451,Marion Bowman,","
4,01/09/2015,?,Hawaii First Federal Credit Union,"Hawaii First Federal Credit Union notifies an undisclosed number of customers that an unauthorized individual may have gained access to an employee's email account, and could have accessed personal information.",Account Hijacking,Finance,CC,US,http://www.scmagazine.com/hawaii-credit-union-notifies-customers-of-employee-email-breach/article/436785/,Hawaii First Federal Credit Union,","
5,02/09/2015,@n0w1337,"Greater Manchester Police
http://www.gmp.police.uk",The website of Greater Manchester Police in the UK (gmp.police.uk) is hit by two DDoS attacks. A Twitter account going by the handle @n0w1337 claims responsibility for the attack.,DDoS,Law Enforcement,CC,UK,http://www.infosecurity-magazine.com/news/manchester-uks-website-knocked/,"Greater Manchester Police, gmp.police.uk, @n0w1337",","
6,02/09/2015,@n0w1337,"Manchester Airport
http://www.manchesterairport.co.uk","In the same wave of attacks, the same attacker also claims responsibility for taking down the website of Manchester Airport (manchesterairport.co.uk).",DDoS,Airport,CC,UK,http://home.bt.com/news/uk-news/greater-manchester-police-website-targeted-by-hacker-11364001567404,"Manchester Airport, @n0w1337",","
7,02/09/2015,? (Author Unknown but charged),ReverbNation,"ReverbNation, an online platform that  assists >3M musicians in building their careers, experienced a breach in 2014, and notifies an undisclosed number of users and asking them to change their passwords.",Unknown,Industry: Music,CC,US,http://www.scmagazine.com/2014-breach-prompts-reverbnation-to-notify-customers/article/436757/,Reverbnation,","
8,02/09/2015,?,Several banks,CSIS team reports a new variant of the Carbanak trojan using a new communications protocol,Targeted Attack,Finance,CC,>1,http://news.softpedia.com/news/carbanak-banking-trojan-returns-with-a-new-series-of-attacks-491015.shtml,"CSIS Team, Carbanak",","
9,02/09/2015,?,"Wayne County Board of Education
http://boe.wayn.k12.wv.us",Hackers claiming to be part of Islamic State deface the Wayne County Board of Education website (boe.wayn.k12.wv.us),Defacement,Education,H,US,http://www.statejournal.com/story/29943796/hacker-claiming-to-be-part-of-islamic-state-hacks-wayne-county-wv-board-of-education-website-redirects-visitors-to-site-promoting-terrorism," Wayne County Board of Education, boe.wayn.k12.wv.us",","
10,02/09/2015,?,Parking sign installed at Lille’s Boulevard Louis XVI,A French hacker defaces an electronic parking sign with offensive content.,Defacement,Parking Sign,CC,FR,https://www.hackread.com/hacked-electronic-signpost-france/,Lille’s Boulevard Louis XVI,","
11,03/09/2015,?,uk.match.com,"In an attack similar to the one that happened last month on PlentyOfFish, Malwarebytes reveals that the UK version of online dating site Match.com  (uk.match.com) is caught serving malvertising.
",Malvertising,Dating,CC,UK,https://blog.malwarebytes.org/malvertising-2/2015/09/malvertising-found-on-dating-site-matchdotcom/,"PlentyOfFish, Malwarebytes, Match.com, uk.match.com
",","
12,03/09/2015,@n0w1337,"Essex Police
http://www.essex.police.uk","The same attacker who took down the Manchester Police earlier this month, also takes down the website of the Essex Police.",DDoS,Law Enforcement,CC,UK,http://www.theregister.co.uk/2015/09/04/essex_police_ddos/,"@n0w1337, Essex Police, essex.police.uk",","
13,03/09/2015,"ConnectingFriend
KheXan rOot",http://www.askmebazaar.com,"Two hackers dubbed ConnectingFriend and KheXan rOot hack askmebazaar.com and dump 2,105 user records.",SQLi,Industry: E-Commerce,CC,IN,http://pastebin.com/eEN0NVuM,"ConnectingFriend, KheXan rOot, askmebazaar.com",","
